  01/01/1893	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/08/1893	        NA	        NA	      66.9	    -171.6	at anchor west of cape serdzekamen siberia	         cape serdzekamen	
  17/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/08/1893	   66 54 N	  171 35 W	      NA	      NA	      NA
  19/08/1893	   66 27 N	  170 27 W	      NA	      NA	      NA
  20/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/08/1893	   65 20 N	  167 18 W	      NA	      NA	      NA
  23/08/1893	   65 27 N	  171 10 W	      NA	      NA	      NA
  24/08/1893	   65 27 N	  171 12 W	      NA	      NA	      NA
  25/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/08/1893	        NA	        NA	      65.7	    -171.1	at anchor south side of south head st lawrence bay siberia	          st lawrence bay	
  26/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/08/1893	   65 34 N	  168 00 W	      NA	      NA	      NA
  28/08/1893	   65 34 N	  168 00 W	      NA	      NA	      NA
  29/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  31/08/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/09/1893	        NA	        NA	        NA	        NA	at anchor off reindeer station port clarence alaska	                       NA	
  01/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/09/1893	        NA	        NA	        NA	        NA	at anchor off reindeer station port clarence alaska	                       NA	
  02/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/09/1893	        NA	        NA	        NA	        NA	at anchor off port clarence reindeer station alaska	                       NA	
  03/09/1893	   64 39 N	  166 21 W	      NA	      NA	      NA
  04/09/1893	   63 33 N	  161 37 W	      NA	      NA	      NA
  05/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/09/1893	        NA	        NA	      63.5	    -162.0	at anchor off st michaels alaska	               st michael	
  06/09/1893	   63 53 N	  162 00 W	      NA	      NA	      NA
  07/09/1893	   64 04 N	  165 15 W	      NA	      NA	      NA
  08/09/1893	   63 49 N	  171 27 W	      NA	      NA	      NA
  09/09/1893	   62 17 N	  172 46 W	      NA	      NA	      NA
  10/09/1893	   60 29 N	  171 31 W	      NA	      NA	      NA
  11/09/1893	   59 31 N	  170 45 W	      NA	      NA	      NA
  12/09/1893	   57 05 N	  170 08 W	      NA	      NA	      NA
  13/09/1893	   56 46 N	  168 54 W	      NA	      NA	      NA
  14/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/09/1893	        NA	        NA	      56.6	    -169.6	at anchor off village st george island alaska	         st george island	
  15/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/09/1893	        NA	        NA	      56.6	    -169.6	at anchor off village st george island alaska	         st george island	
  16/09/1893	   56 58 N	  170 04 W	      NA	      NA	      NA
  17/09/1893	   55 34 N	  169 05 W	      NA	      NA	      NA
  18/09/1893	   54 11 N	  166 50 W	      NA	      NA	      NA
  19/09/1893	        NA	        NA	      53.9	    -166.5	          unalaska harbor	             unalaska bay	
  19/09/1893	        NA	        NA	      53.9	    -166.5	    unalaska dutch harbor	             dutch harbor	
  20/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
 24/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  25/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  26/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  27/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  28/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  29/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/09/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  30/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/09/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  01/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  02/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  03/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  04/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  05/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  06/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  07/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  08/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  09/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  10/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  11/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  12/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  13/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  14/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  15/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  16/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  17/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/10/1893	        NA	        NA	      53.9	    -166.5	nac cos wharf dutch harbor alaska	             dutch harbor	
  18/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  19/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  20/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  21/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  22/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  23/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/10/1893	        NA	        NA	      53.9	    -166.5	at nac cos wharf dutch harbor alaska	             dutch harbor	
  24/10/1893	   54 12 N	  166 54 W	      NA	      NA	      NA
  25/10/1893	   56 16 N	  169 04 W	      NA	      NA	      NA
  26/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/10/1893	        NA	        NA	      57.1	    -170.3	at anchor off village st paul island bering sea	           st paul island	
  27/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/10/1893	        NA	        NA	      57.1	    -170.3	at anchor off village st paul island bering sea	           st paul island	
  28/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/10/1893	        NA	        NA	      57.1	    -170.3	   off village st paul id	                  st paul	
  29/10/1893	        NA	        NA	      56.6	    -169.6	at anchor off village st george island alaska	         st george island	
  30/10/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/10/1893	        NA	        NA	      56.6	    -169.6	at anchor off village st george island alaska	         st george island	
  31/10/1893	   56 04 N	  169 14 W	      NA	      NA	      NA
  01/11/1893	   53 52 N	  164 41 W	      NA	      NA	      NA
  02/11/1893	   52 34 N	  161 32 W	      NA	      NA	      NA
  03/11/1893	   50 48 N	  156 19 W	      NA	      NA	      NA
  04/11/1893	   49 10 N	  151 33 W	      NA	      NA	      NA
  05/11/1893	   47 12 N	  146 53 W	      NA	      NA	      NA
  06/11/1893	   46 07 N	  141 58 W	      NA	      NA	      NA
  07/11/1893	   43 59 N	  136 33 W	      NA	      NA	      NA
  08/11/1893	   42 18 N	  132 49 W	      NA	      NA	      NA
  09/11/1893	   41 02 N	  128 50 W	      NA	      NA	      NA
  10/11/1893	   39 03 N	  125 28 W	      NA	      NA	      NA
  11/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/11/1893	        NA	        NA	      37.8	    -122.4	at anchor off falsow st san francisco cal	        san francisco bay	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1893	        NA	        NA	        NA	        NA	                       NA	                       NA	
