     04/1946,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j,k
  15/08/1946,   52 58 N,  172 39 W,55,166.3,               bering sea,                  behring,,,,
  15/08/1946,,,26.1,-166.5,atka island light abeam to port distance 8 miles,             dutch harbor,,,,
  16/08/1946,,,55,166.3,               bering sea,                  behring,,,,
  16/08/1946,,,51.9,-176.5,approaching kuluk bay on various courses and speeds,      great sitkin island,,,,
  17/08/1946,   52 22 N,  175 52 W,,,              adak alaska,,,,,
  17/08/1946,,,-17.5,-176.6,standing out of kuluk bay,                kuluk bay,,,,
  18/08/1946,   52 22 N,  175 52 W,,,              adak alaska,,,,,
  17/08/1946,,,-17.5,-176.6,standing out of kuluk bay,                kuluk bay,,,,
  18/08/1946,   53 13 N,  170 07 W,53,-168.9,       bering sea  alaska,             nikolski bay,,,,
  18/08/1946,,,52.9,-169,uliaga island peak abeam to port distance 5 miles,                     hvar,,,,
  19/08/1946,   52 36 N,  174 44 W,55,166.3,               bering sea,                  behring,,,,
  19/08/1946,,,51.9,-176.6,            head rock 018,                kuluk bay,,,,
  20/08/1946,,,,,          nob adak alaska,,,,,
  20/08/1946,,,51.9,-176.6,            head rock 018,              kuluk shoal,,,,
  21/08/1946,   52 04 N,  177 01 W,,,          nob adak alaska,,,,,
  21/08/1946,,,51.9,-176.6,cape adagdak abeam to port distance 3 miles,                    sitka,,,,
  22/08/1946,   51 36 N,  179 23 E,55,166.3,               bering sea,                  behring,,,,
  22/08/1946,,,51.4,179.3,manuevering outside constantine harbor amchitka alaska,       constantine harbor,,,,
  23/08/1946,   52 01 N,  178 44 E,55,166.3,               bering sea,                  behring,,,,
  23/08/1946,,,52.4,178.9,sighted little sitkin island bearing 305 t distance 26 miles,       constantine harbor,,,,
  24/08/1946,   52 50 N,  173 49 E,52.8,173.3,               bering sea,             massacre bay,,,,
  24/08/1946,,,19.6,-70.2,lighted lighted whistle buoy 5 close aboard to port,                  el buoy,,,,
  25/08/1946,,,-17.5,-149.8,              attu alaska,                   moorea,,,,
  25/08/1946,,,-17.5,-149.8,moored starboard side to pier 3 nas attu alaska,                   moorea,,,,
  26/08/1946,,,-17.5,-149.8,              attu alaska,                   moorea,,,,
  26/08/1946,,,52.8,173.3,moored starboard side to east side pier 3 naval air station massacre bay attu alaska,             massacre bay,,,,
  27/08/1946,   52 46 N,  172 52 E,52.8,172.8,              attu alaska,           nevidiskof bay,,,,
  27/08/1946,,,52.8,172.9,unmoored from pier 3 nas standing out of massacre bay,           theodore point,,,,
  28/08/1946,   52 46 N,  172 52 E,52.8,172.8,              attu alaska,           nevidiskof bay,,,,
  28/08/1946,,,52.8,172.8,   tower chuniksak pt 299,           nevidiskof bay,,,,
  29/08/1946,   52 46 N,  172 52 E,52.8,172.8,              attu alaska,           nevidiskof bay,,,,
  29/08/1946,,,22.6,172.8,anchored in nevidiskov bay,           nevidiskof bay,,,,
  30/08/1946,   52 46 N,  172 52 E,52.8,172.8,anchored nevidiskof b attu alaska,           nevidiskof bay,,,,
  30/08/1946,,,52.8,172.8,tower chukinuksak pt  299 t,           theodore point,,,,
  31/08/1946,   52 46 N,  172 52 E,52.8,172.8,anchored nevidiskof b attu alaska,           nevidiskof bay,,,,
  31/08/1946,,,22.6,172.8,anchored in neivdiskov bay attu island alaska,                      sur,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  31/08/1946,,,,,,,,,,
  01/09/1946,   52 46 N,  172 52 E,52.8,172.8,anchored nevidiskof bay attu alaska,           nevidiskof bay,,,,
  01/09/1946,,,52.8,172.8,        chuniksak pt  299,           nevidiskof bay,,,,
  02/09/1946,   52 46 N,  172 52 E,52.8,172.8,anchored nevidiskof bay attu alaska,           nevidiskof bay,,,,
  02/09/1946,,,52.8,172.8,       chuknukiska pt 299,           nevidiskof bay,,,,
  03/09/1946,   52 46 N,  172 52 E,52.8,172.8,anchored nevidiskof bay attu alaska,           nevidiskof bay,,,,
  03/09/1946,,,52.8,172.8,         chuniksak pt 299,           nevidiskof bay,,,,
  04/09/1946,   52 46 N,  172 52 E,52.8,172.8,anchored in nevidiskof bay attu alaska,           nevidiskof bay,,,,
  04/09/1946,,,52.8,173.3, chuniksak pt tower 299 t,             massacre bay,,,,
  05/09/1946,   52 50 N,  173 12 E,-17.5,-174.4,moored to pier 2 nas attu alaska,                   moorea,,,,
  05/09/1946,,,52.8,173.3,moored staborad side to pier 2 nas attu island alaska,             massacre bay,,,,
  06/09/1946,   54 03 N,  178 06 E,55,166.3,               bering sea,                  behring,,,,
  06/09/1946,,,57.1,-170.3,en route from attu island alaska to st paul island  alaska,           st paul island,,,,
  07/09/1946,   55 58 N,  174 35 W,57.1,-170.3,en route attu  to st paul  alaska,                  st paul,,,,
  07/09/1946,,,57.1,-170.3,en route from attu island alaska to st paul island alaska,           st paul island,,,,
  08/09/1946,   57 07 N,  170 17 W,57.1,-170.3,en route from attu to st paul alaska,                  st paul,,,,
  08/09/1946,,,57.1,-170.3,let go port anchor with 45 fathoms of chain in 15 fathoms water off st paul island,           st paul island,,,,
  09/09/1946,   57 07 N,    170 21,12.3,-83.7,anchored in english bay st paul alaska,             english bank,,,,
  09/09/1946,,,57.2,-170.3,         tolstoi pt 060 t,                     tolo,,,,
  10/09/1946,   57 07 N,  170 21 W,12.3,-83.7,anchored in english bay st paul alaska,             english bank,,,,
  10/09/1946,,,12.3,-83.7,    southwest point 313 t,             english bank,,,,
  11/09/1946,   57 07 N,  170 21 W,57.1,-170.3,anchored off st paul island alaska,           st paul island,,,,
  11/09/1946,,,57.1,-170.3,enroute to st mathew island,             village cove,,,,
  12/09/1946,   59 24 N,  172 02 W,60.4,-172.7,en route to st matthew island alaska,        st matthew island,,,,
  12/09/1946,,,60.4,-172.8,en route from st paul island alaska to st matthew island alaska,        st matthew island,,,,
  13/09/1946,   60 23 N,  172 42 W,60.4,-172.7,anchored off st matthew island alaska,        st matthew island,,,,
  13/09/1946,,,60.4,-172.8,right tangent split rock  315 t,       sugarloaf mountain,,,,
  14/09/1946,   60 23 N,  172 42 W,60.4,-172.7,        st matthew alaska,        st matthew island,,,,
  14/09/1946,,,60.4,-172.8,right tangent split rock  315,       sugarloaf mountain,,,,
  15/09/1946,   57 88 N,  170 17 W,55,166.3,               bering sea,                  behring,,,,
  15/09/1946,,,57.1,-170.3,standing out of village cove st paul alaska,             village cove,,,,
  15/09/1946,,,55,166.3,               bering sea,                  behring,,,,
  15/09/1946,,,,,,,,,,
  16/09/1946,   53 23 N,  169 05 W,55,166.3,               bering sea,                  behring,,,,
  16/09/1946,,,52.9,-169,              okee pt 036,               cape starr,,,,
  17/09/1946,   52 59 N,  168 54 W,53,-168.9,nikolski bay  umnak alaska,             nikolski bay,,,,
  17/09/1946,,,52.9,-169,     ananiuliak light 340,               cape starr,,,,
  18/09/1946,   53 21 N,  168 57 W,55,166.3,               bering sea,                  behring,,,,
  18/09/1946,,,53,-168.9,commenced maneuvering into nikolski bay  umnak island alaska,             nikolski bay,,,,
  19/09/1946,   52 59 N,  168 56 W,55,166.3,               bering sea,             nikolski bay,,,,
  19/09/1946,,,53,-168.9, rt ananiuliak island 359,             nikolski bay,,,,
  19/09/1946,   53 18 N,  168 41 W,53,-168.9,nikolski bay  umnak alaska,             nikolski bay,,,,
  20/09/1946,,,53,-168.9,rt ananiuliak island 000 t,             nikolski bay,,,,
  21/09/1946,   54 24 N,  164 46 W,55,166.3,               bering sea,                  behring,,,,
  21/09/1946,,,54.6,-164.9,hove to off cape sarichef,            cape sarichef,,,,
  22/09/1946,   55 09 N,  159 39 W,54.4,-164.8,en route scotch cap to kodiak alaska,               scotch cap,,,,
  22/09/1946,,,55.4,-158.8,unga spit light bearing 184 distance 2 miles,             deer passage,,,,
  23/09/1946,   56 30 N,  156 10 W,54.4,-164.8,en route scotch cap to kodiak alaska,               scotch cap,,,,
  23/09/1946,,,54.4,-164.8,en route from scotch cap to kodiak alaska,               scotch cap,,,,
  24/09/1946,,,57.8,-152.4,en route scotch cap to kodiak alaska,                   kodiak,,,,
  24/09/1946,,,57.6,-152.5,moored port side to temporary dock kodiak alaska,             cape chiniak,,,,
  25/09/1946,,,57.7,-152.5,moored temporary dock womans bay kodiak alaska,               womens bay,,,,
  25/09/1946,,,,,moored port side to temporary dock womans bay kodiak alaska,,,,,
  26/09/1946,   57 41 N,     151 W,57.8,-152.4,            kodiak alaska,                   kodiak,,,,
  26/09/1946,,,31.3,-152.5,moored port side to temporary dock nob kodiak alaska,               womens bay,,,,
  27/09/1946,   56 58 N,  144 26 W,57,-144,           gulf of alaska,           gulf of alaska,,,,
  27/09/1946,,,55.4,-131.7,en route from kodiak alaska to ketchikan alaska,                ketchikan,,,,
  28/09/1946,   56 44 N,  138 16 W,57,-144,gulf of alaska  en route to ketchikan ala,           gulf of alaska,,,,
  28/09/1946,,,55.4,-131.7,en route from kodiak alaska to ketchikan alaska,                ketchikan,,,,
  29/09/1946,   56 16 N,  134 56 W,57,-144,           gulf of alaska,           gulf of alaska,,,,
  29/09/1946,,,56.4,-133.2,helm rock light abeam to starboard distance 1 miles,                   port t,,,,
  30/09/1946,   55 36 N,  132 14 W,55.4,-131.7,gulf of alaska sumner strait,           gulf of alaska,,,,
  30/09/1946,,,55.4,-132.7,caamano pt light abeam to port,                      gib,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  30/09/1946,,,,,,,,,,
  01/10/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  01/10/1946,,,,,moored port side to coast guard operating base in ketchikan alaska,,,,,
  02/10/1946,,,55.4,-131.7,cg operating base ketchikan ala,                ketchikan,,,,
  02/10/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,,,
  03/10/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  03/10/1946,,,55.4,-131.7,moored portside to cg operating base dock ketchikan alaska,                ketchikan,,,,
  04/10/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  04/10/1946,,,31.3,32.3,moored port side to cg buoy dock at ketchikan alaska,                port said,,,,
  05/10/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  05/10/1946,,,55.4,-131.7,moored portside to cg operating base dock ketchikan alaska,                ketchikan,,,,
  06/10/1946,,,55.4,-131.7,cg operating base ketchikan alaska,                ketchikan,,,,
  06/10/1946,,,55.4,-131.7,standing out of tongass narrows,                ketchikan,,,,
  07/10/1946,   53 26 N,  129 27 W,15.5,73.9,revelligegado channel alaska,                      goa,,,,
  07/10/1946,,,52.4,-128.5,en route to seattle wash from ketchikan alaska,              duck island,,,,
  07/10/1946,,,15.5,73.9,revelligegado channel alaska,                      goa,,,,
  07/10/1946,,,52.3,-128.2,  wharf light bearing 223,                     hvar,,,,
  08/10/1946,   50 30 N,  126 20 W,51.7,-127.9,    fitzhugh sound alaska,          fitz hugh sound,,,,
  08/10/1946,,,50,-127.8,standing through seymour narrows,               cape mudge,,,,
  08/10/1946,,,51.7,-127.9,           fitzhugh sound,          fitz hugh sound,,,,
  08/10/1946,,,54.9,-5.8,ballanes is light abeam to starboard cc to 119 t  distance 1 mile,                    larne,,,,
  09/10/1946,   48 08 N,  122 42 W,47.6,-5.3,          georgia straits,                      gib,,,,
  09/10/1946,,,29.9,32.6, standing into elliot bay,                   port t,,,,
  10/10/1946,,,47.6,-122.3,pier 91 naval station seattle washington,                  seattle,,,,
  10/10/1946,,,47.6,-122.3,moored portside to east side pier 91 berth fox seattle wash,                  seattle,,,,
  11/10/1946,,,47.6,-122.3,naval station seattle wash,                  seattle,,,,
  11/10/1946,,,31.3,32.3,moored port side to dock berth f pier 91 naval station seattle wash,                port said,,,,
  12/10/1946,,,47.6,-122.3,naval station seattle wash,                  seattle,,,,
  12/10/1946,,,31.3,32.3,moored port side to pier 91 east berth f naval station seattle wash,                port said,,,,
  13/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  13/10/1946,,,31.3,32.3,moored port side to east side of pier 91 berth f seattle wash,                port said,,,,
  14/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  14/10/1946,,,31.3,32.3,moored port side to pier 91 at nob seattle washington,                port said,,,,
  15/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  15/10/1946,,,31.3,32.3,moored port side to dock berth f pier 91 naval station seattle washington,                port said,,,,
  16/10/1946,,,47.6,-122.3,us naval station seattle wn,                  seattle,,,,
  16/10/1946,,,31.3,32.3,moored port side to berth f pier 91 us naval station seattle wash,                port said,,,,
  17/10/1946,,,47.6,-122.3,pier 91 us naval station seattle wash,                  seattle,,,,
  17/10/1946,,,31.3,32.3,moored port side to navy pier 91 nob at seattle wash,                port said,,,,
  18/10/1946,,,47.6,-122.3,pier 91 us naval station seattle wash,                  seattle,,,,
  18/10/1946,,,31.3,32.3,moored port side to east side of pier 91 berth fox nsd seattle washington,                port said,,,,
  19/09/1946,,,47.6,-122.3,pier 91 us naval station seattle wash,                  seattle,,,,
  19/10/1946,,,47.6,-122.3,moored portside to pier 91 us naval station seattle washington,                  seattle,,,,
  20/10/1946,,,47.6,-122.3,pier 91 nob  seattle wash,                  seattle,,,,
  20/10/1946,,,47.6,-122.3,moored portside to pier 91 nob seattle wash berth fox,                  seattle,,,,
  21/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  21/10/1946,,,31.3,32.3,moored port side to east side of pier 91 berth fox nsd seattle wash,                port said,,,,
  22/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  22/10/1946,,,47.6,-122.3,moored portside to pier 91 berth e naval station seattle wash,                  seattle,,,,
  23/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  23/10/1946,,,31.3,32.3,moored port side to pier 91 at berth fox nob seattle wash,                port said,,,,
  24/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  24/10/1946,,,31.3,32.3,moored port side to east side of pier 91 berth fox nsd seattle wash,                port said,,,,
  25/10/1946,,,47.6,-122.3,pier 91 naval station seattle wash,                  seattle,,,,
  25/10/1946,,,47.6,-122.3,maneuvering away from pier 91 nob seattle wash standing down elliot bay proceeding to pier 48 seattle wash,                  seattle,,,,
  26/10/1946,,,47.6,-122.3,moored pier 48 seattle wash,                  seattle,,,,
  26/10/1946,,,31.3,32.3,moored port side to pier 48 seattle wash,                port said,,,,
  27/10/1946,,,47.6,-122.3,moored pier 48 seattle wash,                  seattle,,,,
  27/10/1946,,,31.3,32.3,moored port side to pier 48 seattle wash,                port said,,,,
  28/10/1946,,,47.6,-122.3,moored pier 48 seattle wash,                  seattle,,,,
  28/10/1946,,,47.6,-122.3,moored portside to pier 48 seattle wash,                  seattle,,,,
  29/10/1946,,,47.6,-122.3,moored pier 48 seattle wash,                  seattle,,,,
  29/10/1946,,,31.3,32.3,moored port side to pier 48 seattle wash,                port said,,,,
  30/10/1946,,,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  30/10/1946,,,47.6,-122.3,moored portside to pier 48 seattle wash,                  seattle,,,,
  31/10/1946,,,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  31/10/1946,,,47.6,-122.3,moored portside to pier 48 seattle washington,                  seattle,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  31/10/1946,,,,,,,,,,
  01/11/1946,,,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  01/11/1946,,,31.3,32.3,moored port side to pier 48 seattle wash,                port said,,,,
  02/11/1946,,,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  02/11/1946,,,31.3,32.3,moored port side to pier 48 seattle wash,                port said,,,,
  03/11/1946,,,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  03/11/1946,,,47.6,-122.3,moored portside to pier 48 seattle washington,                  seattle,,,,
  04/11/1946,   48 11 N,  122 45 W,47.6,-122.3,     pier 48 seattle wash,                  seattle,,,,
  04/11/1946,,,48.1,-122.8,standing out of port townsend bay,            port townsend,,,,
  04/11/1946,,,,,,,,,,
  04/11/1946,,,42.2,73.9,turn point abeam to starboard,                     poti,,,,
  05/11/1946,   49 57 N,  125 07 W,36.1,-5.3,      georgia straits  bc,                      gib,,,,
  05/11/1946,,,50.5,-126.3,1854 cracroft island light abeam to starboard distance 58 miles,         cracroft islands,,,,
  05/11/1946,,,36.1,-5.3,        georgia strait bc,                      gib,,,,
  05/11/1946,,,29.9,32.6,noble island light abeam to port distance 08 miles,                   port t,,,,
  06/11/1946,   52 42 N,  128 33 W,50.9,-127.6,       gordon channel  bc,           gordon channel,,,,
  06/11/1946,,,52.1,-128,kaiete point light abeam to port distance 07 mile,                   port t,,,,
  06/11/1946,,,50.9,-127.6,       gordon channel  bc,           gordon channel,,,,
  06/11/1946,,,29.9,-130.2,watson rk light abeam to starboard distance 15 miles,              duck island,,,,
  07/11/1946,   55 74 N,  131 25 W,55.4,-131.7,            chatham sound,                ketchikan,,,,
  07/11/1946,,,55.1,-131.7,standing in revillagagedo channel,    revillagagedo channel,,,,
  07/11/1946,,,51.4,0.5,            chatham sound,                  chatham,,,,
  07/11/1946,,,,,,,,,,
  08/11/1946,,,55.4,-131.7,moored cg oper base dock ketchikan ala,                ketchikan,,,,
  08/11/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,,,
  09/11/1946,,,55.4,-131.7,coast guard base ketchikan ala,                ketchikan,,,,
  09/11/1946,,,55.4,-131.7,moored portside to dock coast guard operating base ketchikan alaska,                ketchikan,,,,
  10/11/1946,,,55.4,-131.7,coast guard berry shed  ketchikan alaska,                ketchikan,,,,
  10/11/1946,,,,,moored port side to coast guard buoy dock ketchikan alaska,,,,,
  11/11/1946,,,55.4,-131.7,                ketchikan,                ketchikan,,,,
  11/11/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,,,
  12/11/1946,,,55.4,-131.7,coast guard operating base ketchikan alaska,                ketchikan,,,,
  12/11/1946,,,55.4,-131.7,moored portside to dock coast guard operating base ketchikan alaska,                ketchikan,,,,
  13/11/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  13/11/1946,,,,,moored port side to coast guard base at ketchikan alaska,,,,,
  14/11/1946,,,55.4,-131.7,coast guard operating base ketchikan alaska,                ketchikan,,,,
  14/11/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,,,
  15/11/1946,,,55.4,-131.7,coast guard operating base ketchikan alaska,                ketchikan,,,,
  15/11/1946,,,55.4,-131.7,moored portside to dock coast guard operating base ketchikan alaska,                ketchikan,,,,
  16/11/1946,,,55.4,-131.7,                ketchikan,                ketchikan,,,,
  16/11/1946,,,55.4,-131.7,moored port side to south end of cg buoy dock cg operating base ketchikan alaska,                ketchikan,,,,
  17/11/1946,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,,
  17/11/1946,,,,,moored port side to coast guard buoy dock at ketchikan alaska,,,,,
  18/11/1946,,,55.4,-131.7,coast guard operating base ketchikan alaska,                ketchikan,,,,
  18/11/1946,,,31.3,32.3,moored port side to cg operating base dock ketchikan alaska,                port said,,,,
  19/11/1946,,,55.4,-131.7,coast guard base ketchikan alaska,                ketchikan,,,,
  19/11/1946,,,55.4,-131.7,moored portside to dock coast guard operating base ketchikan alaska,                ketchikan,,,,
  20/11/1946,   54 37 N,  132 26 W,55.4,-131.7,cg operating base dock ketchikan ala,                ketchikan,,,,
  20/11/1946,,,55.4,-131.7,abeam of forester island distance 5 miles,           point mccartey,,,,
  21/11/1946,   55 21 N,  137 14 W,57,-144,at sea underway in gulf of alaska,           gulf of alaska,,,,
  21/11/1946,,,55.4,-131.7,en route ketchikan alaska to kodiak alaska,                ketchikan,,,,
  22/11/1946,   56 28 N,  144 31 W,57,-144,at sea underway in gulf of alaska,           gulf of alaska,,,,
  22/11/1946,,,,,underway in gulf of alaska enroute from ketchikan to kodiak alaska,,,,,
  23/11/1946,   57 37 N,  151 00 W,57,-152.5,    at sea gulf of alaska,           gulf of alaska,,,,
  23/11/1946,,,57.7,-152.5,moored port side to temporary dock kodiak alaska,               womens bay,,,,
  24/11/1946,,,57.8,-152.4,womans bay temporary dock kodiak alaska,                   kodiak,,,,
  24/11/1946,,,31.3,32.3,moored port side to temporary dock nob kodiak alaska,                port said,,,,
  24/11/1946,   58 00 N,  151 47 W,57.7,-152.5,standing out womens bay kodiak alaska,               womens bay,,,,
  25/11/1946,,,57.7,-152.5,sealion rock  to port distance 4 12 miles,            humpback rock,,,,
  26/11/1946,   56 36 N,  156 34 W,57.4,-154.9,at sea shelikof strait alaska,          shelikof strait,,,,
  26/11/1946,,,57.4,-154.3,standing down shelikof strait enroute kodiak alaska to squaw harbor alaska,               foggy cape,,,,
  27/11/1946,   55 14 N,  160 33 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,,
  27/11/1946,,,55.2,-160.6,enroute kodiak alaska to dutch harbor alaska,              baralof bay,,,,
  28/11/1946,   55 03 N,  162 19 W,55.2,-160.6,       baralof bay alaska,              baralof bay,,,,
  28/11/1946,,,55,-162.3,enroute baralof bay to king cove alaska,                king cove,,,,
  28/11/1946,,,,,,,,,,
  28/11/1946,,,,,,,,,,
  29/11/1946,   54 17 N,  165 58 W,53.9,-166.5,at sea unimak pass alaska,             dutch harbor,,,,
  29/11/1946,,,53.9,-166.5,enroute king cove alaska to dutch harbor alaska,             dutch harbor,,,,
  30/11/1946,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,,
  30/11/1946,,,53.9,-166.5,moored portside to ballyhoo dock dutch harbor alaska,             dutch harbor,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  30/11/1946,,,,,,,,,,
  01/12/1946,   53 49 N,  167 43 W,53.9,-166.5,ballyhoo dock dutch harbor aaa,             dutch harbor,,,,
  01/12/1946,,,53.9,-166.5,koriga point abeam to port distance 6 miles,             dutch harbor,,,,
  02/12/1946,   53 07 N,  168 54 W,55,166.3, at sea bering sea alaska,                  behring,,,,
  02/12/1946,,,29.9,-168.9,standing into nikolski bay,                   port t,,,,
  03/12/1946,   52 36 N,  174 18 W,55,166.3, at sea bering sea alaska,                  behring,,,,
  03/12/1946,,,31.1,-70.2,  standing into kuluk bay,                  el buoy,,,,
  04/12/1946,   51 52 N,  176 35 W,51.9,-176.6,      pier 9 nob adak aaa,                kuluk bay,,,,
  04/12/1946,,,51.9,-176.6,    finger shoal buoy 196,              kuluk shoal,,,,
  05/12/1946,,,,,   pier  9 adak is alaska,,,,,
  05/12/1946,,,-17.5,-149.8,moored stbd side to pier 9 nob adak alaska,                   moorea,,,,
  06/12/1946,,,,,      pier 9 adak aaa nob,,,,,
  06/12/1946,,,-17.5,-149.8,moored stbd side to pier 9 nob adak alaska,                   moorea,,,,
  07/12/1946,,,22.5,69.1,       pier 9 adak alaska,                     okha,,,,
  07/12/1946,,,-17.5,-149.8,moored stbd side to south side of pier 9 nob adak alaska,                   moorea,,,,
  08/12/1946,,,,,   pier 9 nob adak alaska,,,,,
  08/12/1946,,,-17.5,-149.8,moored stbd side to pier 9 nob adak alaska,                   moorea,,,,
  08/12/1946,,,,,,,,,,
  08/12/1946,,,,,,,,,,
  08/12/1946,,,,,,,,,,
  08/12/1946,,,,,,,,,,
  xx/12/1946,,,22.5,69.1,   pier 9 nob adak alaska,                     okha,,,,
  09/12/1946,,,-17.5,-149.8,moored stbd side to south side of pier 9 nob adak alaska,                   moorea,,,,
  10/12/1946,   51 54 N,  176 31 W,,,          nob adak alaska,,,,,
  10/12/1946,,,51.9,-176.6,standing out of kuluk bay enroute to umnak is alaska,             swallow head,,,,
  11/12/1946,   53 10 N,  169 50 W,,,enroute adak to umnak alaska,,,,,
  11/12/1946,,,53,-168.9,enroute adak to umnak alaska,             nikolski bay,,,,
  12/12/1946,   52 57 N,  168 54 W,53,-168.9,nikolski bay umnak is alaska,             nikolski bay,,,,
  12/12/1946,,,53,-168.9,ananiuliak is light 340 degrees anchor bearing,            rudisell reef,,,,
  13/12/1946,   52 58 N,  168 55 W,53,-168.9,nikolski bay umnak is alaska,             nikolski bay,,,,
  13/12/1946,,,53,-168.9,      rudisell reef 122 t,             nikolski bay,,,,
  14/12/1946,   52 51 N,  163 48 W,56.2,-3,at sea north pacific ocean,                    forth,,,,
  14/12/1946,,,55.4,-131.7,en route from umnak alaska to ketchikan alaska,                ketchikan,,,,
  15/12/1946,   53 25 N,  156 16 W,56.2,-3,      north pacific ocean,                    forth,,,,
  15/12/1946,,,55.4,-131.7,en route from umnak alaska to ketchikan alaska,                ketchikan,,,,
  16/12/1946,   53 40 N,  148 39 W,55,-1.5,   at sea n pacific ocean,                      tic,,,,
  16/12/1946,,,55.4,-131.7,en route from umnak alaska to ketchikan alaska,                ketchikan,,,,
  17/12/1946,   54 12 N,  141 41 W,55,-1.5,   at sea n pacific ocean,                      tic,,,,
  17/12/1946,,,55.4,-131.7,en route from umnak alaska to ketchikan alaska,                ketchikan,,,,
  18/12/1946,   54 29 N,  134 38 W,55,-1.5,   at sea n pacific ocean,                      tic,,,,
  18/12/1946,,,55.4,-131.7,en route from umnak alaska to ketchikan alaska,                ketchikan,,,,
  19/12/1946,,,55.4,-132.6,   calrence strait alaska,          clarence strait,,,,
  19/12/1946,,,55.4,-131.9,en route from umnak alaska to ketchikan alaska standing into clarence strait,            guard islands,,,,
  20/12/1946,,,55.4,-131.7,berth 3 and 4 cgob ketchikan alaska,                ketchikan,,,,
  20/12/1946,,,,,moored port side to coast guard operating base dock ketchikan alaska,,,,,
  21/12/1946,   52 41 N,  130 30 W,53,-131,     hecate strait alaska,            hecate strait,,,,
  20/12/1946,,,59.9,10.8,pt winslow lt abeam to stbd distance 4 miles,                     oslo,,,,
  20/12/1946,,,,,,,,,,
  21/12/1946,,,54.2,-130.8,seal rock light abeam to port distance 78 miles,                   port t,,,,
  22/12/1946,   45 09 N,  126 16 W,56.2,-3,at sea north pacific ocean,                    forth,,,,
  22/12/1946,,,55.4,-131.7,en route ketchikan alaska to banger wash,                   port t,,,,
  23/12/1946,   47 51 N,  122 38 W,56.4,-5.5,strait of juan de fuca wash,                     oban,,,,
  23/12/1946,,,48.1,-122.8,             walan pt 201,            port townsend,,,,
  24/12/1946,   47 51 N,  122 38 W,47.6,-122.3,us naval ordnance depot bangor wn,                  seattle,,,,
  24/12/1946,,,47.6,-122.3,enroute from usn ordnance depot bangor wn to seattle wn,                  seattle,,,,
  25/12/1946,,,47.6,-122.3,           nsd seattle wn,                  seattle,,,,
  25/12/1946,,,31.3,32.3,moored port side to berth fox pier 91 seattle washington,                port said,,,,
  26/12/1946,,,47.6,-122.3,           nsd seattle wn,                  seattle,,,,
  26/12/1946,,,31.3,32.3,moored as before port side to pier 91 naval station seattle wash,                port said,,,,
